ponto_de_coleta,referencia,balneario_nome,municipio,lon,lat
1,BAL. BRASÍLIA - FINAL DA AVENIDA 650,PRAIA DE ITAPOÁ,ITAPOÁ,-48.61064954994685,-26.06486767369552
2,BAL. PAESE - ENTRE A RUA 1020 E 1030,PRAIA DE ITAPOÁ,ITAPOÁ,-48.603848889955664,-26.085764873822534
3,BAL. PALMEIRAS - RUA 1970,PRAIA DE ITAPOÁ,ITAPOÁ,-48.59794811426442,-26.131928058450256
4,BAL. BARRA DO SAÍ - RUA 20,PRAIA DE ITAPOÁ,ITAPOÁ,-48.604323398228715,-26.0074182771805
1,50 METROS À ESQUERDA DO TRAPICHE,PRAIA DE VIGORELLI,JOINVILLE,-48.76637601565912,-26.22446863507169
1,EM FRENTE AO POSTO SALVA VIDAS,PRAIA DA ENSEADA,SÃO FRANCISCO DO SUL,-48.50877,-26.226319
2,FRENTE À RUA MINAS GERAIS,PRAIA DA ENSEADA,SÃO FRANCISCO DO SUL,-48.504591,-26.226304
8,FRENTE À RUA ACRE,PRAIA DA ENSEADA,SÃO FRANCISCO DO SUL,-48.515242,-26.223465
3,FRENTE À RUA MANILA,PRAIA DE ITAGUAÇÚ,SÃO FRANCISCO DO SUL,-48.528095,-26.190063
4,FRENTE AO POSTO SALVA VIDAS,PRAIA DE UBATUBA,SÃO FRANCISCO DO SUL,-48.52803203865715,-26.201199310583007
5,FRENTE À RUA INGLATERRA,PRAIA DO CAPRI,SÃO FRANCISCO DO SUL,-48.572119112464165,-26.186211656396193
6,FRENTE A PRAÇA DA FIGUEIRA,PRAIA DOS PAULAS,SÃO FRANCISCO DO SUL,-48.626753210638,-26.2300966994788
7,FRENTE A PRAÇA DO INGLÊS,PRAIA DOS PAULAS,SÃO FRANCISCO DO SUL,-48.62950323496,-26.231170935999
1,"PRAIA DO BISPO, FRENTE A CAPELA DOS NAVEGANTES",PRAIA DA BARRA DO SUL,BALNEÁRIO DA BARRA DO SUL,-48.608029709939,-26.469155226388
2,PRAINHA DA FOZ DO CANAL DO LINGUADO,CANAL DO LINGUADO,BALNEÁRIO DA BARRA DO SUL,-48.597740383673,-26.455229155902
1,"AV. ARMANDO PETRELI, NA ALTURA DO Nº555",PRAIA DA BARRA VELHA,BARRA VELHA,-48.68011973147956,-26.62795231635277
2,FRENTE À RUA HUMBERTO PIMENTEL,PRAIA DA BARRA VELHA,BARRA VELHA,-48.68083682191268,-26.63420904806476
3,RUA ANTONIO R. DA G. MOURA,PRAIA DA BARRA VELHA,BARRA VELHA,-48.6827445033012,-26.63820196729777
5,"RUA DR. PLACIDO GOMES DE OLIVEIRA, ALTURA Nº336",LAGOA DE BARRA VELHA,BARRA VELHA,-48.68252402776889,-26.63022061263414
1,FRENTE A RUA NAKLE FRANCISCO,PRAIA DE PIÇARRAS,PIÇARRAS,-48.66804209837801,-26.767936190230245
2,"FTE AV GETULIO VARGAS, ESQUERDA DO MOLHE",PRAIA DE PIÇARRAS,PIÇARRAS,-48.674808145853035,-26.75757002097944
1,FRENTE À TRAV. PARTICULAR MARCELO DOS SANTOS,PRAIA ALEGRE,PENHA,-48.65425933610359,-26.772311039294166
2,FOZ DO RIO PIÇARRAS,PRAIA ALEGRE,PENHA,-48.65936119863507,-26.77208861870927
3,FTE R. INÊS DE SOUZA - PRAIA DO QUILOMBO,PRAIA DA ARMAÇÃO DO ITAPOCORÓI,PENHA,-48.63858966526591,-26.77307941168229
4,"FTE R. BLUMENAU, 5450 - PRAIA DA FORTALEZA",PRAIA DA ARMAÇÃO DO ITAPOCORÓI,PENHA,-48.615315,-26.790383
5,EM FRENTE À RUA MARIA EMÍLIA COSTA,PRAIA DA ARMAÇÃO DO ITAPOCORÓI,PENHA,-48.605410168309525,-26.788504107485668
11,EM FRENTE À RUA ANTONIO ANICETO DA COSTA,PRAIA DA ARMAÇÃO DO ITAPOCORÓI,PENHA,-48.60333271971861,-26.785445858952347
6,NA ENTRADA DA PRAIA,PRAIA DA SAUDADE,PENHA,-48.64430916627947,-26.76582885159652
7,FRENTE À RÓTULA DE RETORNO (BACIA DA VOVÓ),PRAINHA DA PENHA,PENHA,-48.646817,-26.762726
8,PRÓXIMO AS PEDRAS,PRAIA GRANDE,PENHA,-48.597555946889585,-26.780926120933383
9,FRENTE À RUA PRINCIPAL DE ACESSO,PRAIA VERMELHA,PENHA,-48.597413352637375,-26.803438905179554
10,EM FRENTE À RUA ARNO BECKER,PRAIA DE SÃO MIGUEL,PENHA,-48.61456561743151,-26.824755403931803
2,FRENTE À RUA 8150-POSTO 7 SALVA VIDAS,PRAIA DE NAVEGANTES,NAVEGANTES,-48.62538566060548,-26.830189566144565
3,FRENTE A RUA JULIA C. DO NASCIMENTO,PRAIA DE NAVEGANTES,NAVEGANTES,-48.630516262055636,-26.83982324323614
4,FOZ DO RIO GRAVATÁ,PRAIA DE NAVEGANTES,NAVEGANTES,-48.62213763800459,-26.826290684555033
1,FRENTE A RUA QUINTINO BOCAIÚVA,PRAIA DE CABEÇUDAS,ITAJAÍ,-48.632902803689,-26.927564876419
2,FRENTE AO POSTO SALVA VIDAS,PRAIA DO ATALAIA,ITAJAÍ,-48.640969610763,-26.9196955875352
3,AV. JOSÉ M. VIEIRA EM FRENTE A RUA DOCA REBELLO,PRAIA BRAVA,ITAJAÍ,-48.629288511291,-26.9554698185621
4,"FTE À SAÍDA DA LAGOA, R. JOSÉ MANOEL C. SILVA",PRAIA BRAVA,ITAJAÍ,-48.6277175413,-26.9405717209252
1,PONTAL NORTE,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.6327700443469,-26.9724484643764
2,FRENTE À RUA 1001,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.63347627600174,-26.98346065825088
3,FRENTE À RUA 2000,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.62850128539494,-26.99062329018414
4,FRENTE À RUA 3000,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.624651927001864,-26.996442076703072
5,PONTAL SUL - FRENTE À RUA 4900,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.605126891787386,-27.005108231036534
10,FRENTE À RUA 4000,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.61684533206998,-27.003583501805622
11,FRENTE À RUA 3500,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.622267464713,-26.999172202597233
12,FRENTE À RUA 2500,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.62732889853186,-26.99416803336615
13,FRENTE À RUA 1400,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.6299176595396,-26.98840917135418
14,FRENTE À RUA 51,PRAIA DO BALN. CAMBORIÚ,BALNEÁRIO CAMBORIÚ,-48.631947,-26.986498
6,NO MEIO DA PRAIA,PRAIA DE LARANJEIRAS,BALNEÁRIO CAMBORIÚ,-48.59102230355759,-26.997120455615615
7,ENTRE R. DOMINGOS FONSECA E NAPOLEÃO VIEIRA,PRAIA DO ESTALEIRO,BALNEÁRIO CAMBORIÚ,-48.58220380621382,-27.033073681887842
8,EM FRENTE A ESCOLA MUNICIPAL,PRAIA DE TAQUARAS,BALNEÁRIO CAMBORIÚ,-48.579161591488074,-27.009988206448988
9,LAGOA DE TAQUARAS,PRAIA DE TAQUARAS,BALNEÁRIO CAMBORIÚ,-48.57857363479878,-27.01109704679605
1,Rua 113,PRAIA DE ITAPEMA,ITAPEMA,-48.60888031327,-27.0918013872479
2,Rua 149,PRAIA DE ITAPEMA,ITAPEMA,-48.613526803837,-27.101373497089
3,Rua 227,PRAIA DE ITAPEMA,ITAPEMA,-48.60309903789,-27.1241705200084
4,Rua 319,PRAIA DE ITAPEMA,ITAPEMA,-48.58721331191009,-27.143060272107377
5,Rua 205,PRAIA DE ITAPEMA,ITAPEMA,-48.607453,-27.116662
7,Rua 129 E 1 - sul do rio Bela Cruz,PRAIA DE ITAPEMA,ITAPEMA,-48.612663911291925,-27.095010539370303
8,Rua 261,PRAIA DE ITAPEMA,ITAPEMA,-48.596826,-27.131983
9,Rua 163,PRAIA DE ITAPEMA,ITAPEMA,-48.612675002660396,-27.106841012239048
1,Rua Manoel F. da S. Neto - ao lado do trapiche,PRAIA DE PORTO BELO,PORTO BELO,-48.54495362189123,-27.15446381672664
2,Rua João B. Guerreiro,PRAIA DE PORTO BELO,PORTO BELO,-48.552685,-27.157488
6,Rua Cap. Gualberto Leal Nunes,PRAIA DE PORTO BELO,PORTO BELO,-48.54302205210671,-27.151921450344062
3,Foz do rio Perequezinho,PRAIA DE PEREQUÊ,PORTO BELO,-48.564243,-27.155668
4,Rua Rubens Alves,PRAIA DE PEREQUÊ,PORTO BELO,-48.571603,-27.152644
5,Rua Alm. Fonseca Neves,PRAIA DE PEREQUÊ,PORTO BELO,-48.582959,-27.145636
1,"Av. Ver. Manoel José dos Santos, 1.149",PRAIA DE BOMBINHAS,BOMBINHAS,-48.49115201961551,-27.14792174465255
6,"canto direito da praia, próximo ao riacho",PRAIA DE BOMBINHAS,BOMBINHAS,-48.48383546886718,-27.1480884648508
7,Rua Castanheta,PRAIA DE BOMBINHAS,BOMBINHAS,-48.49454074140273,-27.146583694616677
2,Rua Martin Pescador,PRAIA DE BOMBAS,BOMBINHAS,-48.50760898645682,-27.14040085817028
4,Rua Tiriba,PRAIA DE BOMBAS,BOMBINHAS,-48.50012298383225,-27.145934345632714
5,Rua Ariramba à esquerda do riacho,PRAIA DE BOMBAS,BOMBINHAS,-48.51280584489044,-27.13345481379452
3,"Av. Água Marinha, altura do nº 3.244",PRAIA DO MARISCAL,BOMBINHAS,-48.49875772585622,-27.17143703811551
8,Rua Jequiti próximo ao trapiche,PRAIA DO CANTO GRANDE,BOMBINHAS,-48.49890475826328,-27.20056691224584
1,No meio da praia,PRAIA DA ARMAÇÃO DA PIEDADE,GOVERNADOR CELSO RAMOS,-48.534590232724,-27.3792030009992
2,Av. Aderbal Ramos da Silva,PRAIA DE PALMAS,GOVERNADOR CELSO RAMOS,-48.53835758628,-27.324055996788
3,À direita do trapiche,PRAIA DA BAIA DOS GOLFINHOS,GOVERNADOR CELSO RAMOS,-48.5617690047548,-27.4045942209226
1,em frente ao aqueduto,PRAIA DE SÃO MIGUEL,BIGUAÇÚ,-48.6330515894704,-27.45225819152898
1,FRENTE À RUA ELESBÃO PINTO DA LUZ,PRAIA DO JARDIM ATLÂNTICO,FLORIANÓPOLIS,-48.5973044209087,-27.5738221075775
2,EM FRENTE À RUA JOSÉ CÂNDIDO DA SILVA,PRAIA DO BALNEÁRIO,FLORIANÓPOLIS,-48.57845402874648,-27.57778961702028
3,BELMIRA ISABEL MARTINS,PRAIA DO MATADOURO,FLORIANÓPOLIS,-48.5764904152094,-27.5869590098687
4,CANTO ESQUERDO DA PRAIA,PRAIA DA SAUDADE,FLORIANÓPOLIS,-48.5795184931059,-27.61091429561392
5,NO MEIO DA PRAIA,PRAIA DO MEIO,FLORIANÓPOLIS,-48.5851311167437,-27.61363788356
6,ENTRE O TRÊVO E A RUA EUCLIDES DA CUNHA,PRAIA DO ITAGUAÇU,FLORIANÓPOLIS,-48.591863530093,-27.61704842388698
7,NO MEIO DA PRAIA,PRAIA DAS PALMEIRAS,FLORIANÓPOLIS,-48.5950772816238,-27.6160033597746
8,FRENTE À RUA TEÓFILO ALMEIDA,PRAIA DO BOM ABRIGO,FLORIANÓPOLIS,-48.597005293926,-27.6121387401247
9,PRÓXIMO AO Nº 4000 DA ROD. HAROLDO S. GLAVAN,PRAIA DO CACUPÉ,FLORIANÓPOLIS,-48.52543766534,-27.53248835197
10,NO MEIO DA PRAIA,PRAIA DO CACUPÉ,FLORIANÓPOLIS,-48.524921429456,-27.5424225552425
11,EM FRENTE AO MONUMENTO DA POLÍCIA MILITAR,PRAIA DA BEIRA MAR NORTE,FLORIANÓPOLIS,-48.5494123880114,-27.58461570956294
12,EM FTE A PÇ ROLDÃO DA ROCHA PIRES,PRAIA DE SANTO ANTÔNIO DE LISBOA,FLORIANÓPOLIS,-48.51998071371375,-27.5077491276534
13,FRENTE À SERVIDÃO HIPÓLITO MACHADO,PRAIA DE SANTO ANTÔNIO DE LISBOA,FLORIANÓPOLIS,-48.522624442937,-27.5053780757117
14,FRENTE À RUA SERVIDÃO PARAÍSO DAS FLORES,PRAIA DE SAMBAQUI,FLORIANÓPOLIS,-48.525466891173,-27.4945739148044
15,PONTA DO SAMBAQUI,PRAIA DE SAMBAQUI,FLORIANÓPOLIS,-48.537968107323,-27.4893457910334
16,FRENTE À RUA DOS CACTOS,PRAIA DA DANIELA,FLORIANÓPOLIS,-48.52451797810759,-27.44470430878503
17,NA ENTRADA DA PRAIA,PRAIA DO FORTE,FLORIANÓPOLIS,-48.519843372842,-27.433946767139
18,FRENTE A RUA DAS MOREIAS,PRAIA DE JURERE,FLORIANÓPOLIS,-48.49086356701009,-27.43783097538259
19,FRENTE A ROD. MAURICIO SIROTSKY SOBRINHO,PRAIA DE JURERE,FLORIANÓPOLIS,-48.486299171808,-27.437983266962
54,FRENTE A RUA LUIS RAMPA,PRAIA DE JURERE,FLORIANÓPOLIS,-48.482845571281,-27.437316350952
68,FRENTE A RUA VALDEMAR MEDEIROS,PRAIA DE JURERE,FLORIANÓPOLIS,-48.47936449281,-27.4316320799
20,EM FRENTE À RUA DAS FLÔRES,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.4650189475903,-27.4274828677218
21,EM FRENTE A AVENIDA DAS NAÇÕES,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.4583536742183,-27.427108778624
22,LADO ESQUERDO DO TRAPICHE,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.45018893125,-27.42598510565
55,FRENTE A RUA HEITOR BITENCOURT,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.468766212287,-27.427226180778
59,FRENTE A RUA ACARí MARGARIDA,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.467120115208,-27.427575224575
60,CANTO ESQUERDO DA PRAIA PRÓX. AS PEDRAS,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.472483313135,-27.426517696928
23,100 METROS À ESQUERDA DA IGREJA,PRAIA DE PONTA DAS CANAS,FLORIANÓPOLIS,-48.4347983330746,-27.395828009926
67,ALTURA DO Nº5.281 DA ESTRADA GERAL (NA LAGOA),PRAIA DE PONTA DAS CANAS,FLORIANÓPOLIS,-48.42769481853,-27.402680772137
24,"PRÓXIMO À FOZ DO RIACHO (COSTÃO SUL, NO MAR)",PRAIA BRAVA,FLORIANÓPOLIS,-48.410910365521,-27.404968564078
25,EM FRENTE AO POSTO  SALVA VIDAS,PRAIA BRAVA,FLORIANÓPOLIS,-48.41367040622632,-27.39758506784498
26,ESQUERDA DA SAIDA DA LAGOA,PRAIA DA LAGOINHA,FLORIANÓPOLIS,-48.420900848048,-27.3887684265592
27,FRENTE DO RIO CAPIVARI,PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.3984399927141,-27.4258945060097
