ponto_de_coleta,referencia,balneario_nome,municipio,lon,lat
28,FRENTE AO POSTO SALVA VIDAS,PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.39056879473686,-27.435969912488
29,EM FRENTE À RUA DA IGREJA,PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.3766188451383,-27.4434491918398
57,FRENTE À RUA DO SIRI,PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.3864187900595,-27.4391402283861
58,FRENTE À RUA DANTE DE PATA,PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.392892,-27.433592
31,200 METROS À ESQUERDA DO COSTÃO SUL,PRAIA DO SANTINHO,FLORIANÓPOLIS,-48.3761103331993,-27.4636410591801
32,APROXIMADAMENTE 50 METROS À ESQ. DOS MOLHES,PRAIA DA BARRA DA LAGOA,FLORIANÓPOLIS,-48.42333433387406,-27.5739682074886
33,EM FRENTE AO POSTO SALVA VIDAS,PRAIA DA JOAQUINA,FLORIANÓPOLIS,-48.44823099512896,-27.62907846483125
35,FRENTE À AVENIDA PEQUENO PRINCIPE,PRAIA DO CAMPECHE,FLORIANÓPOLIS,-48.481243339719,-27.6901707000176
63,ALTURA Nº 12.820 DA ESTRADA GERAL DO RIBEIRÃO,PRAIA DA CAIACANGAÇÚ,FLORIANÓPOLIS,-48.5726988747967,-27.7599284876114
37,FRENTE À SERVIDÃO PEDRO MANUEL FERNANDES,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.4444270121756,-27.60923978368693
38,NOS TRAPICHES DOS SERVIÇOS DE TRANSPORTES,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.4637536230621,-27.604785439816
39,FRENTE À RUA DE ACESSO À PRAIA DA JOAQUINA,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.4421599763135,-27.6087288145788
41,CANTO DA LAGOA - AO LADO DO POSTO DE SAÚDE,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.48387858772162,-27.61585301139431
43,FRENTE AO ACESSO PARA O RIO TAVARES,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.46202030343408,-27.60660339429657
61,ALTURA Nº 1480 DA AV. DAS RENDEIRAS,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.45013654499001,-27.60892982889886
62,FRENTE A RUA MANUEL ISIDORO DA SILVEIRA,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.4657013103617,-27.6050917215185
66,ALTURA DO Nº 2267 DA AV. OSNI ORTIGA,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.46828830743611,-27.62603563108095
44,EM FRENTE A IGREJA DA VILA,PRAIA DA ARMAÇÃO DO PÂNTANO DO SUL,FLORIANÓPOLIS,-48.50264131536068,-27.75018986429381
64,FOZ RIO SANGRADOURO(NO RIO),PRAIA DA ARMAÇÃO DO PÂNTANO DO SUL,FLORIANÓPOLIS,-48.5011923411633,-27.7510208371275
45,FRENTE A RUA ABELARDO OTACILIO GOMES,PRAIA DO PANTANO DO SUL,FLORIANÓPOLIS,-48.50797442,-27.782740904
65,FOZ DO RIO DAS PACAS,PRAIA DA SOLIDÃO,FLORIANÓPOLIS,-48.5342612003906,-27.7952671645009
47,FRENTE À PRAÇA,PRAIA DO RIBEIRÃO DA ILHA,FLORIANÓPOLIS,-48.56449568815,-27.71925291568
48,NO MEIO DA PRAIA,PRAIA DA TAPERA,FLORIANÓPOLIS,-48.568754849876,-27.688595364518
49,AO LADO DO TRAPICHE,PRAIA DA BASE AÉREA,FLORIANÓPOLIS,-48.56779522552024,-27.67747112330876
52,NO MEIO DA PRAIA,PRAIA DO JOSÉ MENDES,FLORIANÓPOLIS,-48.54752607809,-27.61293287423
53,FRENTE A AV. DOS SALMOES,PRAIA DE JURERE INTERNACIONAL,FLORIANÓPOLIS,-48.501681664501,-27.436608832162
56,FRENTE AO TREVO DOS INGLÊSES,PRAIA DA CACHOEIRA DO BOM JESUS,FLORIANÓPOLIS,-48.43512099630686,-27.42036700047639
1,Canto esquerdo da praia,PRAIA DE GUARAREMA,SÃO JOSÉ,-48.631057,-27.637542
1,Rua Canindé,PRAIA DO SONHO,PALHOÇA,-48.587337,-27.836723
2,RUA DOS PESCADORES,PRAIA DA PINHEIRA,PALHOÇA,-48.588786618656414,-27.88432685157649
3,"No rio, em frente à vila",GUARDA DO EMBAÚ,PALHOÇA,-48.590357,-27.903451
4,Rua Antônio Júlio Fagundes,PRAIA DE FORA,PALHOÇA,-48.634415,-27.737512
1,Em frente à praça,PRAIA DE GAROPABA,GAROPABA,-48.6142766940151,-28.0232942299274
2,Rua Lauro S. Muller,PRAIA DE GAROPABA,GAROPABA,-48.618769490638,-28.0224338180355
3,Estrada Geral da praia do Siriú,PRAIA DO SIRIÚ,GAROPABA,-48.62823306755015,-27.9747579129526
1,Canto Sul,PRAIA DO ROSA,IMBITUBA,-48.642437394164,-28.13524048846
2,Próximo à boca da barra,LAGOA DE IBIRAQUERA,IMBITUBA,-48.653592950768,-28.15391989591
3,100 m ao sul da boca da barra,PRAIA DE IBIRAQUERA,IMBITUBA,-48.652536003985,-28.1566357073142
4,"Frente rua Joao Martins, salva vidas",PRAIA DA RIBANCEIRA,IMBITUBA,-48.6624472347849,-28.1900906679166
5,Próximo ao navio encalhado,PRAIA DO PORTO,IMBITUBA,-48.666107973435,-28.217041279202
6,Rua Francisco Moreira Alves,PRAIA DA VILA NOVA,IMBITUBA,-48.66090280183,-28.2445891956746
7,Rua Hans de Schimidt,PRAIA DA VILA NOVA,IMBITUBA,-48.682572024635,-28.266856892078
1,100 m do costão sul,PRAIA DE ITAPIRUBÁ,LAGUNA,-48.707542,-28.341677
2,Em frente ao posto Salva Vidas,PRAIA DO GI,LAGUNA,-48.765902,-28.465272
3,Efrente ao emissário da CASAN,PRAIA DO MAR GROSSO,LAGUNA,-48.76583,-28.481527
4,Em frente ao Km 313 da BR 101,LAGOA DE CABEÇUDAS,LAGUNA,-48.820109,-28.440369
5,No meio da praia,PRAIA DA TERESA,LAGUNA,-48.762815,-28.52486
6,Extrema esquerda da praia,PRAIA DO CARDOSO,LAGUNA,-48.82184145432537,-28.60745059905936
7,Na entrada da praia,PRAINHA DO FAROL,LAGUNA,-48.815708,-28.602376
1,300 m ao sul da foz do arroio Corrente,PRAIA DO ARROIO CORRENTE,JAGUARUNA,-49.016544,-28.69694
2,Na entrada de água do Chuveirão,LAGOA DO ARROIO CORRENTE,JAGUARUNA,-49.018813,-28.692049
3,Próximo à ponte,CANAL DO CAMACHO,JAGUARUNA,-48.85993573165677,-28.61008765260199
1,Rua Camboriú - próximo ao Salva Vidas,LAGOA DOS FREITAS,BALNEARIO RINCÃO,-49.2274106057351,-28.8122714725763
2,Próximo ao trapiche,LAGOA DOS ESTEVES,BALNEARIO RINCÃO,-49.289339097544,-28.8459813958926
3,Parque Verde,LAGOA DO FAXINAL,BALNEARIO RINCÃO,-49.275978,-28.837266
4,Rua Paraná - Calçadão,PRAIA DO RINCÃO,BALNEARIO RINCÃO,-49.22723166855,-28.8331142801195
5,Arroio da Praia do Rincão - No Arroio,PRAIA DO RINCÃO,BALNEARIO RINCÃO,-49.224898,-28.829796
6,Rua Castro Alves,PRAIA DO RINCÃO,BALNEARIO RINCÃO,-49.23180609385,-28.836522183998
7,Rua Manoel José Magé,PRAIA DO RINCÃO,BALNEARIO RINCÃO,-49.236217,-28.839552
8,100 m ao norte do arroio,PRAIA DO RINCÃO,BALNEARIO RINCÃO,-49.222871927,-28.82975417631
1,Em frente ao posto de Salva Vidas Central,PRAIA DO MORRO DOS CONVENTOS,ARARANGUA,-49.36214325002222,-28.94379548061612
1,Rua Vinte de Maio,PRAIA DE PASSO DE TORRES,PASSO DE TORRES,-49.71247,-29.324103
2,Próximo à ponte,BRAÇO MORTO DO RIO MAMPITUBA,PASSO DE TORRES,-49.716839,-29.325569
1,Rua Apolônio I. Cardoso - 100 m ao norte do arroio,PRAIA DO ARROIO DO SILVA,BALN. ARROIO DO SILVA,-49.41000096181783,-28.9875320364582
2,Rua P. Oliveira - 100 m ao sul do arroio,PRAIA DO ARROIO DO SILVA,BALN. ARROIO DO SILVA,-49.41232099147552,-28.98951769356954
3,Av. Mondardo - Foz do arroio,PRAIA DO ARROIO DO SILVA,BALN. ARROIO DO SILVA,-49.41137002319747,-28.98861306962549
1,Av. Itapuan - em frente à praça de esportes,PRAIA DAS GAIVOTAS,BALN. GAIVOTA,-49.57663563054125,-29.16155785381965
2,"na foz do riacho, no mar",ARROIO DA PRAIA DAS GAIVOTAS,BALN. GAIVOTA,-49.573059,-29.157521
69,NO RIACHO,PRAIA BRAVA,FLORIANÓPOLIS,-48.4113937567057,-27.4059159062729
70,FRENTE À RUA ALCINA JANNIS,PRAIA DE PONTA DAS CANAS,FLORIANÓPOLIS,-48.429391997,-27.413647713
71,ACESSO PRINCIPAL,PRAIA MOLE,FLORIANÓPOLIS,-48.432467521022,-27.6026308929178
17,Av. Florianópolis,PRAIA DO ARROIO DO SILVA,BALN. ARROIO DO SILVA,-49.41427346211411,-28.991381663203356
4,no meio da praia,PRAIA DO ANTENOR,GOVERNADOR CELSO RAMOS,-48.57358002585,-27.4266910014494
5,Canto esquerdo em frente ao riacho,PRAIA DO ANTENOR,GOVERNADOR CELSO RAMOS,-48.5726181435784,-27.426746432322
6,Rua Beija Flor em frente à rampa,PRAIA DO MAGALHÃES,GOVERNADOR CELSO RAMOS,-48.562341862298,-27.402447663146
7,Rua Gregório Monteiro,PRAIA DA FAZENDA DA ARMAÇÃO,GOVERNADOR CELSO RAMOS,-48.5557192371,-27.3666263843177
8,Rua Gerino B. dos Santos - próximo ao riacho,PRAIA DA FAZENDA DA ARMAÇÃO,GOVERNADOR CELSO RAMOS,-48.551607055127,-27.36519175915
9,Rua Flamboiam,PRAIA DA GAMBOA,GOVERNADOR CELSO RAMOS,-48.5415388963312,-27.36756831265
10,Av. CARAVELAS,PRAIA GRANDE,GOVERNADOR CELSO RAMOS,-48.534884504671,-27.3645634503751
11,"Em frente a Rua 51, esq. Alameda das Laranjeiras. Direita do S.V.",PRAIA DE PALMAS,GOVERNADOR CELSO RAMOS,-48.531632986608,-27.3343682394682
72,FRENTE À RUA CANTO DA AMIZADE,LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS,-48.4767697195375,-27.625928594462
73,RIOZINHO ( NO RIO ) FTE A SERV. FAMÍLIA NUNES,PRAIA DO CAMPECHE,FLORIANÓPOLIS,-48.48085497937,-27.6858958889468
3,Frente à rua Otto Fiedler,CANAL DO LINGUADO,BALNEÁRIO DA BARRA DO SUL,-48.628056,-26.44272
4,A DIREITA DO ACESSO PRINCIPAL – ESTRADA GERAL DA FERRUGEM,LAGOA DA FERRUGEM,GAROPABA,-48.632677,-28.082294
74,Lagoa do Peri em frente a sede do parque,LAGOA DO PERI,FLORIANÓPOLIS,-48.50937,-27.725931
5,Frente à avenida João Sacavem,PRAIA DE NAVEGANTES,NAVEGANTES,-48.642888,-26.902401
5,"RUA BEIRA RIO, NO RIO",PRAIA DA PINHEIRA,PALHOÇA,-48.594385,-27.851124
75,100 m a direita do Riozinho (no mar),PRAIA DO CAMPECHE,FLORIANÓPOLIS,-48.4801459,-27.687002
76,"Final da Av. dos Buzios, frente a rotatoria sentido Praia do Forte",PRAIA DE JURERE,FLORIANÓPOLIS,-48.5136214,-27.432235
77,"Frente a Rua Morro das Feiticeiras, no canto esquerdo",PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.4023213,-27.420063
78,"Frente tubulacao, a esquerda do ponto 28",PRAIA DOS INGLESES,FLORIANÓPOLIS,-48.390789,-27.435549
79,Rotatoria no final Av Traugott Wildi,PRAIA BRAVA,FLORIANÓPOLIS,-48.414084,-27.393086
80,Frente a Rua Dep Otacilio Costa,PRAIA DA CACHOEIRA DO BOM JESUS,FLORIANÓPOLIS,-48.442027,-27.423563
81,Frente a Rua Afonso Cardoso da Veiga,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.45507,-27.426632
82,Frente a Rua Jose Daux,PRAIA DE CANASVIEIRAS,FLORIANÓPOLIS,-48.461534,-27.42692
83,"Frente a Rua Alcina Janis, no canal",PRAIA DE PONTA DAS CANAS,FLORIANÓPOLIS,-48.428132,-27.413658
5,Frente ao Posto Salva Vidas 11,PRAIA BRAVA,ITAJAÍ,-48.6290495,-26.957811
9,"Frente a rua Maceio, Frente Salva Vidas 05",PRAINHA DA ENSEADA,SÃO FRANCISCO DO SUL,-48.5007325,-26.231189
6,Frente Posto Salva Vidas Ponta do Papagaio,PRAIA DA PINHEIRA,PALHOÇA,-48.600424,-27.860287
13,Av. Ganchos altura n. 1008 a direita do trapiche,PRAIA DE GANCHOS,GOVERNADOR CELSO RAMOS,,
12,"Rua Deodoro Simas Custodio, esquerda do riacho",PRAIA DE CANTO DE GANCHOS,GOVERNADOR CELSO RAMOS,,
8,Esquerda do molhe central,PRAIA DO PORTO,IMBITUBA,,
15,Frente a Rua Jose Amaro da Cunha,PRAIA DO ESTALEIRINHO,BALNEÁRIO CAMBORIÚ,-48.589042,-27.048471
5,FTE ACESSO PRINCIPAL,PRAIA DA VIGIA,GAROPABA,-48.610119,-28.019234
7,FTE RUA DO GIRASSOL,PRAIA DE FORA,PALHOÇA,-48.627654,-27.746496
10,FTE RUA 1100,PRAIA DO PORTO,ITAPEMA,-48.593891,-27.062169
9,FTE A RUA RIO MADEIRA,PRAIA DE ZIMBROS,BOMBINHAS,-48.531372,-27.180233
84,Fte Rua das Hortencias,PRAIA DA DANIELA,FLORIANÓPOLIS,-48.535576,-27.447736
85,Frente Av dos Pampos,PRAIA DE JURERE INTERNACIONAL,FLORIANÓPOLIS,-48.508773,-27.4346
86,"Estr. Jornalista Jaime de A. Ramos, altura do n",PRAIA DA LAGOINHA,FLORIANÓPOLIS,-48.426678,-27.388906
87,"Rod. SC 406 km 10,5, frente ao acesso",PRAIA DO MOCAMBIQUE,FLORIANÓPOLIS,-48.416498,-27.523014
88,Fte Rua Aconchego do Mar,PRAIA DA BARRA DA LAGOA,FLORIANÓPOLIS,-48.426835,-27.571432
89,"Fte Posto Salva Vidas, fundos do CEEL",PRAIA DO CAMPECHE,FLORIANÓPOLIS,-48.476625,-27.669138
90,Areias do Campeche - Fte Rua Lomba do Sab,PRAIA DO CAMPECHE,FLORIANÓPOLIS,-48.489861,-27.697651
91,curva da SC 406,PRAIA DO MORRO DAS PEDRAS,FLORIANÓPOLIS,-48.503583,-27.717623
93,Fte Rua Algas Marinhas - A,PRAIA DO PANTANO DO SUL,FLORIANÓPOLIS,-48.524161,-27.783905
92,"Fte Lagoa do Peri, CALDEIRAO",PRAIA DA ARMAÇÃO DO PÂNTANO DO SUL,FLORIANÓPOLIS,-48.506814,-27.72685
